Marca;Modelo;ene-23;feb-23;mar-23;abr-23;may-23;jun-23;jul-23;ago-23;sep-23;oct-23;nov-23;dic-23;ene-24;feb-24;mar-24;Total
ZANELLA;        ZANELLA PATAGONIAN EAGLE 250;2;2;5;3;7;4;4;3;4;4;2;2;1;0;0;43
ZANELLA;        ZANELLA CECCATO X 700;7;6;5;4;2;0;1;2;4;4;2;0;1;0;0;38
ZANELLA;        ZANELLA RZ 300;6;7;5;4;1;3;1;5;2;0;1;0;1;0;1;37
ZANELLA;        ZANELLA RZ 650;8;1;7;4;0;1;1;2;0;1;0;1;1;1;0;28
ZANELLA;        ZANELLA CECCATO 250 X;0;0;0;0;0;2;0;6;1;2;4;1;5;2;0;23
ZANELLA;        ZANELLA RX150;0;0;7;0;4;0;4;3;0;0;0;0;0;0;0;18
ZANELLA;        ZANELLA ZR 200;0;0;0;0;0;0;0;0;0;0;0;0;18;0;0;18
ZANELLA;        ZANELLA RX150;3;5;0;1;0;2;0;0;3;0;1;1;0;0;0;16
ZANELLA;        ZANELLA GFORCE250;0;2;3;2;2;0;2;1;0;0;1;0;1;0;2;16
ZANELLA;        ZANELLA CECCATO V 250 I;0;0;0;0;0;0;0;0;0;5;6;0;0;0;0;11
ZANELLA;        ZANELLA RX 150 G3;0;1;2;1;0;2;1;1;0;0;0;0;0;0;0;8
ZANELLA;        ZANELLA CECCATO 250 X;0;0;5;0;3;0;0;0;0;0;0;0;0;0;0;8
ZANELLA;        ZANELLA CECCATO X 250;0;0;0;0;0;0;0;1;0;1;2;2;1;0;0;7
ZANELLA;        ZANELLA STYLER RS 150;0;0;0;0;0;0;0;0;0;0;0;0;0;3;4;7
ZANELLA;        ZANELLA OTROS;1;0;2;0;0;1;0;0;0;0;0;0;1;1;0;6
ZANELLA;        ZANELLA ZB 110 D;0;1;2;0;1;1;0;0;0;1;0;0;0;0;0;6
ZANELLA;        ZANELLA ZR 200;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;6
ZANELLA;        ZANELLA CECCATO 250 X;3;0;0;0;0;0;2;0;0;0;0;0;0;0;0;5
ZANELLA;        ZANELLA DUE CLASSIC 110;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;4
ZANELLA;        ZANELLA GT2I;1;1;0;0;1;0;1;0;0;0;0;0;0;0;0;4
ZANELLA;        ZANELLA TRICARGO MAX 125;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;4
